config_id,flight_number,origin,destination,scheduled_departure_time_est,scheduled_arrival_time_est,duration_minutes,date,status,actual_departure_time_est,actual_arrival_time_est,estimated_departure_time_est,estimated_arrival_time_est,available_seats_basic_economy,available_seats_economy,available_seats_business,price_basic_economy,price_economy,price_business
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-01,landed,2024-05-01T23:06:00,2024-05-02T03:18:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-02,landed,2024-05-02T22:45:00,2024-05-03T04:10:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-03,landed,2024-05-03T23:11:00,2024-05-04T03:19:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-04,landed,2024-05-04T23:30:00,2024-05-05T03:22:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-05,landed,2024-05-05T23:38:00,2024-05-06T03:50:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-06,landed,2024-05-06T22:52:00,2024-05-07T03:54:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-07,landed,2024-05-07T23:04:00,2024-05-08T03:34:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-08,landed,2024-05-08T22:53:00,2024-05-09T03:38:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-09,landed,2024-05-09T23:20:00,2024-05-10T04:00:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-10,landed,2024-05-10T23:20:00,2024-05-11T04:22:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-11,landed,2024-05-11T23:26:00,2024-05-12T03:11:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-12,landed,2024-05-12T23:32:00,2024-05-13T03:30:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-13,landed,2024-05-13T23:35:00,2024-05-14T04:04:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-14,landed,2024-05-14T22:45:00,2024-05-15T04:20:00,,,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-15,on time,,,2024-05-15T23:06:00,2024-05-16T03:37:00,,,,,,
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-16,available,,,,,14.0,14.0,14.0,54.0,173.0,439.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-17,available,,,,,16.0,16.0,19.0,99.0,139.0,273.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-18,available,,,,,11.0,15.0,17.0,71.0,197.0,348.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-19,available,,,,,18.0,19.0,15.0,84.0,170.0,468.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-20,available,,,,,17.0,1.0,15.0,54.0,156.0,445.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-21,available,,,,,11.0,6.0,3.0,69.0,121.0,480.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-22,available,,,,,15.0,1.0,17.0,60.0,143.0,346.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-23,available,,,,,3.0,1.0,17.0,60.0,115.0,260.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-24,available,,,,,8.0,16.0,2.0,74.0,193.0,293.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-25,available,,,,,19.0,1.0,0.0,94.0,158.0,264.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-26,available,,,,,5.0,3.0,5.0,56.0,136.0,391.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-27,available,,,,,20.0,0.0,8.0,98.0,152.0,295.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-28,available,,,,,6.0,14.0,14.0,58.0,190.0,465.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-29,available,,,,,20.0,2.0,16.0,96.0,197.0,227.0
0,HAT001,MSP,DEN,23:00:00,03:30:00+1,270,2024-05-30,available,,,,,19.0,3.0,17.0,98.0,121.0,230.0
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-01,landed,2024-05-01T08:22:00,2024-05-01T12:37:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-02,landed,2024-05-02T08:20:00,2024-05-02T12:12:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-03,landed,2024-05-03T08:03:00,2024-05-03T12:08:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-04,landed,2024-05-04T08:18:00,2024-05-04T13:00:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-05,landed,2024-05-05T08:05:00,2024-05-05T13:01:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-06,landed,2024-05-06T08:23:00,2024-05-06T12:28:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-07,cancelled,,,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-08,landed,2024-05-08T07:47:00,2024-05-08T12:47:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-09,landed,2024-05-09T08:15:00,2024-05-09T13:15:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-10,landed,2024-05-10T07:48:00,2024-05-10T12:12:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-11,landed,2024-05-11T08:30:00,2024-05-11T13:11:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-12,landed,2024-05-12T08:10:00,2024-05-12T13:13:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-13,landed,2024-05-13T08:32:00,2024-05-13T12:57:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-14,landed,2024-05-14T08:17:00,2024-05-14T13:25:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-15,landed,2024-05-15T07:56:00,2024-05-15T12:27:00,,,,,,,,
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-16,available,,,,,8.0,5.0,6.0,98.0,111.0,315.0
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-17,available,,,,,1.0,3.0,8.0,57.0,155.0,233.0
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-18,available,,,,,17.0,8.0,2.0,51.0,137.0,336.0
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-19,available,,,,,11.0,17.0,17.0,51.0,121.0,302.0
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-20,available,,,,,11.0,0.0,14.0,69.0,190.0,376.0
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-21,available,,,,,12.0,12.0,6.0,93.0,140.0,448.0
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-22,available,,,,,3.0,19.0,1.0,59.0,179.0,338.0
0,HAT002,MSP,DEN,08:00:00,12:30:00,270,2024-05-23,available,,,,,16.0,8.0,19.0,68.0,147.0,376.0
